Category,Prompt,CriticalInformation,author
Cybersecurity & Threat Intelligence,"ROLE: Digital Forensics Analyst.
OBJECTIVE: Plan a timeline analysis of disk image **{evidence_image}** focusing on **{compromise_window}**.
REQUIREMENTS:
• Use fls-bodyfile to extract file system event records.
• Correlate with $MFT and USN journal artifacts.
• Present results in a Gantt-style diagram.
OUTPUT FORMAT: Markdown report with timeline CSV attachment.",evidence_image; compromise_window,Julius Brussee
Cybersecurity & Threat Intelligence,"ROLE: Threat Intelligence Correlator.
OBJECTIVE: Compile a STIX 2.1 bundle linking **{actor_name}** campaigns with **{malware_ids}**.
REQUIREMENTS:
• Include attack patterns, infrastructure, and victims objects.
• Ensure relationship object types are correctly typed and dated.
• Export JSON file validated against Oasis schema.
OUTPUT FORMAT: JSON plus Markdown summary.",actor_name; malware_ids,Julius Brussee
Cybersecurity & Threat Intelligence,"ROLE: Penetration Testing Planner.
OBJECTIVE: Draft an engagement plan to test **{webapp_name}** for **{owasp_category}** vulnerabilities in **{testing_window}**.
REQUIREMENTS:
• Define in-scope endpoints and excluded assets.
• Provide Burp Suite and OWASP ZAP plugin configurations.
• Include risk rating matrix aligned with CVSS 4.0.
OUTPUT FORMAT: Markdown with tables and checklist.",webapp_name; owasp_category; testing_window,Julius Brussee
Cybersecurity & Threat Intelligence,"ROLE: ICS Security Engineer.
OBJECTIVE: Design a network segmentation scheme for **{scada_vendor}** PLCs controlling **{process_name}**.
REQUIREMENTS:
• Specify Purdue Model zones and conduits.
• Include firewall ACL examples for {firewall_model}.
• Document latency impact and redundancy considerations.
OUTPUT FORMAT: Markdown architecture diagram placeholders.",scada_vendor; process_name; firewall_model,Julius Brussee
Cybersecurity & Threat Intelligence,"ROLE: Security Data Lake Builder.
OBJECTIVE: Create an OpenSearch index policy to retain **{log_type}** logs for **{retention_days}** days with ILM rollover.
REQUIREMENTS:
• Provide index template with mapping for ECS fields.
• Include curator job YAML for snapshot to {s3_bucket}.
• Describe alerting integration with PagerDuty.
OUTPUT FORMAT: Markdown with YAML blocks.",log_type; retention_days; s3_bucket,Julius Brussee
Cybersecurity & Threat Intelligence,"ROLE: Zero Trust Strategist.
OBJECTIVE: Develop an identity-centric zero trust roadmap for **{enterprise_size}** employee organization migrating to **{idp_name}**.
REQUIREMENTS:
• Define phases: discovery, pilot, rollout with milestones.
• Map NIST 800-207 pillars to {existing_arch_diagram}.
• Quantify expected MFA adoption rate and risk reduction.
OUTPUT FORMAT: Markdown with timeline diagram placeholders.",enterprise_size; idp_name; existing_arch_diagram,Julius Brussee
Synthetic Biology & Gene Editing,"ROLE: CRISPR gRNA Designer.
OBJECTIVE: Generate optimal sgRNA sequences targeting **{gene_symbol}** exon **{exon_number}** in **{organism_name}**.
REQUIREMENTS:
• Avoid off-targets with fewer than 4 mismatches across genome build {genome_build}.
• Score guides using Rule Set 2 and CFD scores.
• Provide CSV with PAM sequence, GC content, and predicted efficiency.
OUTPUT FORMAT: Markdown with CSV code block.",gene_symbol; exon_number; organism_name; genome_build,Julius Brussee
Synthetic Biology & Gene Editing,"ROLE: Metabolic Pathway Engineer.
OBJECTIVE: Design a synthetic operon to overproduce **{target_metabolite}** in **{microbe_species}**.
REQUIREMENTS:
• Select promoters and RBS parts from {parts_registry} to balance flux.
• Provide SBOL XML snippet.
• Include flux balance analysis predicting yield improvement.
OUTPUT FORMAT: Markdown with SBOL code and tables.",target_metabolite; microbe_species; parts_registry,Julius Brussee
Synthetic Biology & Gene Editing,"ROLE: Protein Engineering Specialist.
OBJECTIVE: Plan a site-saturation mutagenesis library for **{protein_pdb}** at positions **{residue_range}**.
REQUIREMENTS:
• Use degenerate codon scheme minimizing stop codons.
• Provide primer sequences with Tm within ±2 °C of 60 °C.
• Estimate library size and sequencing depth coverage.
OUTPUT FORMAT: Markdown with primer table.",protein_pdb; residue_range,Julius Brussee
Synthetic Biology & Gene Editing,"ROLE: Cell-Free Expression Optimizer.
OBJECTIVE: Outline a DoE matrix to maximize **{protein_name}** yield in TX-TL using **{lysate_type}**.
REQUIREMENTS:
• Choose 3 factors: Mg2+, energy mix, DNA concentration with 3 levels each.
• Include randomization plan and replication strategy.
• Provide R script to analyze ANOVA results.
OUTPUT FORMAT: Markdown with R code block.",protein_name; lysate_type,Julius Brussee
Synthetic Biology & Gene Editing,"ROLE: Biosensor Circuit Designer.
OBJECTIVE: Develop a quorum-sensing biosensor for **{analyte_name}** detection range **{detection_ppm}** ppm.
REQUIREMENTS:
• Select input promoter responsive to analyte and LuxR-based amplifier.
• Simulate dose-response using {simulation_tool}.
• Output transfer function plot and ON/OFF ratio.
OUTPUT FORMAT: Markdown with plots and SBML snippet.",analyte_name; detection_ppm; simulation_tool,Julius Brussee
Synthetic Biology & Gene Editing,"ROLE: Gene Drive Risk Assessor.
OBJECTIVE: Evaluate containment strategies for CRISPR gene drive in **{target_species}** release scenario **{release_scenario}**.
REQUIREMENTS:
• Model allelic frequency spread using {population_model} over 10 generations.
• Assess ecological impact metrics and mitigation measures.
• Summarize risk matrix with likelihood vs consequence.
OUTPUT FORMAT: Markdown with model equations and tables.",target_species; release_scenario; population_model,Julius Brussee
Synthetic Biology & Gene Editing,"ROLE: Synthetic Promoter Miner.
OBJECTIVE: Identify de-novo promoters in **{rna_seq_dataset}** for **{tissue_type}** under stress **{stress_condition}**.
REQUIREMENTS:
• Use differential expression threshold log2FC > 2 and FDR < 0.01.
• Predict promoter regions upstream −400 bp to +50 bp.
• Output FASTA file and motif logo.
OUTPUT FORMAT: Markdown with FASTA block.",rna_seq_dataset; tissue_type; stress_condition,Julius Brussee
Synthetic Biology & Gene Editing,"ROLE: Genome-Scale Model Curator.
OBJECTIVE: Update GEM for **{organism_strain}** with new reaction **{reaction_id}** kinetics parameters.
REQUIREMENTS:
• Validate mass balance and charge using COBRApy.
• Provide SBML diff and MEMOTE score delta.
• Run FBA to confirm growth phenotype unchanged.
OUTPUT FORMAT: Markdown with code and result summary.",organism_strain; reaction_id,Julius Brussee
Synthetic Biology & Gene Editing,"ROLE: Optogenetic Tool Developer.
OBJECTIVE: Design an optogenetic switch controlling **{target_gene}** expression in **{cell_line}** using **{light_wavelength}** nm LED.
REQUIREMENTS:
• Choose LOV vs CRY2 photosensor comparison with response curves.
• Simulate activation kinetics in {modeling_software}.
• Include cloning strategy and plasmid map features.
OUTPUT FORMAT: Markdown with diagrams and SBOL snippet.",target_gene; cell_line; light_wavelength; modeling_software,Julius Brussee
Synthetic Biology & Gene Editing,"ROLE: Epigenome Editor Planner.
OBJECTIVE: Propose dCas-KRAB-MeCP2 construct targeting **{enhancer_region}** to silence **{oncogene_name}**.
REQUIREMENTS:
• Design gRNAs avoiding CpG islands using {crispr_tool}.
• Assess off-target chromatin marks via ChIP-seq datasets.
• Outline lentiviral delivery protocol and controls.
OUTPUT FORMAT: Markdown with table and protocol steps.",enhancer_region; oncogene_name; crispr_tool,Julius Brussee
Renewable Energy Systems Optimization,"ROLE: PV System Yield Analyst.
OBJECTIVE: Simulate annual energy yield for **{pv_array_capacity}** kWp rooftop system in **{city_latlon}** orientation **{tilt_angle}**°.
REQUIREMENTS:
• Use PVLIB with TMY data and losses (soiling, mismatch) totaling 8 %.
• Provide hourly output CSV and monthly summary bar chart.
• Estimate LCOE with given CAPEX {capex_per_kw} €/kW.
OUTPUT FORMAT: Markdown with code and results plots.",pv_array_capacity; city_latlon; tilt_angle; capex_per_kw,Julius Brussee
Renewable Energy Systems Optimization,"ROLE: Wind Turbine Control Engineer.
OBJECTIVE: Design an individual pitch control law for **{turbine_model}** to minimize fatigue loads in IEC Class **{wind_class}**.
REQUIREMENTS:
• Implement gain-scheduled PI controller using FAST-Simulink co-simulation.
• Include tuning procedure using singular value decomposition of MIMO system.
• Present load reduction metrics on blade root bending.
OUTPUT FORMAT: Markdown with MATLAB/Simulink snippets.",turbine_model; wind_class,Julius Brussee
Renewable Energy Systems Optimization,"ROLE: Hydrogen Electrolyzer Optimizer.
OBJECTIVE: Create a dispatch algorithm for **{electrolyzer_capacity}** MW PEM unit linked to PV profile **{solar_profile_csv}**.
REQUIREMENTS:
• Respect ramp rate 10 %/min and minimum load 20 %.
• Use mixed-integer linear programming in Pyomo.
• Report weekly hydrogen output, utilization factor, and curtailed energy.
OUTPUT FORMAT: Markdown with code and result tables.",electrolyzer_capacity; solar_profile_csv,Julius Brussee
Renewable Energy Systems Optimization,"ROLE: Battery Degradation Modeler.
OBJECTIVE: Set up a calendar-cycling degradation model for **{lithium_cell_type}** at **{storage_temperature}** °C.
REQUIREMENTS:
• Use Arrhenius relation and SEI growth equations.
• Calibrate model with {aging_dataset} experimental data.
• Predict capacity retention at 5-year mark with ±2 % accuracy.
OUTPUT FORMAT: Markdown with equations and plots.",lithium_cell_type; storage_temperature; aging_dataset,Julius Brussee
Renewable Energy Systems Optimization,"ROLE: Microgrid Power Flow Planner.
OBJECTIVE: Balance load demand vs generation in **{microgrid_id}** using **{opendss_model}** for next **{horizon_hours}** h.
REQUIREMENTS:
• Include diesel genset fuel consumption curve and battery SOC constraints.
• Optimize objective: minimize NPV of fuel cost and O&M.
• Provide JSON schedule for each DER.
OUTPUT FORMAT: Markdown with optimization results and JSON snippet.",microgrid_id; opendss_model; horizon_hours,Julius Brussee
Renewable Energy Systems Optimization,"ROLE: Wave Energy Converter Analyst.
OBJECTIVE: Model PTO damping optimization for **{wec_device}** in sea state **{hs_tp}** using WEC-SIM.
REQUIREMENTS:
• Perform time-domain simulation for 3-h duration.
• Include spectral moments calculation.
• Report absorbed power vs damping curve.
OUTPUT FORMAT: Markdown with MATLAB code and plot.",wec_device; hs_tp,Julius Brussee
Renewable Energy Systems Optimization,"ROLE: Bioenergy Supply Scheduler.
OBJECTIVE: Plan a feedstock delivery schedule for **{biomass_plant}** requiring **{dry_tonnes}** t/year.
REQUIREMENTS:
• Use GIS road network analysis to optimize trucking routes.
• Include emission factors and cost per tonne-km.
• Provide monthly delivery table and GHG savings estimate.
OUTPUT FORMAT: Markdown with maps and tables.",biomass_plant; dry_tonnes,Julius Brussee
Renewable Energy Systems Optimization,"ROLE: Heat Pump System Designer.
OBJECTIVE: Size a ground-source heat pump for **{building_area}** m² office in climate zone **{ashrae_zone}**.
REQUIREMENTS:
• Calculate heating/cooling loads using hourly bin method.
• Determine borehole depth and spacing with {ghx_software}.
• Estimate COP seasonal performance factor.
OUTPUT FORMAT: Markdown with calculation steps and summary table.",building_area; ashrae_zone; ghx_software,Julius Brussee
Renewable Energy Systems Optimization,"ROLE: Electric Vehicle Fleet Scheduler.
OBJECTIVE: Optimize charging schedule for **{fleet_size}** EVs with route data **{route_csv}** at depot **{charger_power}** kW each.
REQUIREMENTS:
• Use MILP minimizing electricity cost with TOU tariff file {tariff_csv}.
• Enforce state-of-charge constraints before departure.
• Provide Gantt-chart style schedule and cost summary.
OUTPUT FORMAT: Markdown with pandas code and plot.",fleet_size; route_csv; charger_power; tariff_csv,Julius Brussee
Renewable Energy Systems Optimization,"ROLE: Solar Thermal CSP Analyst.
OBJECTIVE: Evaluate thermal storage dispatch strategy for **{csp_plant_name}** with molten salt tank **{storage_hours}** h.
REQUIREMENTS:
• Simulate dispatch to maximize revenue under {market_price_csv}.
• Use SAM or equivalent Python model.
• Report annual capacity factor and revenue uplift.
OUTPUT FORMAT: Markdown with results table and plot.",csp_plant_name; storage_hours; market_price_csv,Julius Brussee
Advanced Materials Characterization,"ROLE: XRD Phase Identifier.
OBJECTIVE: Identify crystalline phases in **{diffraction_pattern}** using PDF-4+ database and Rietveld refinement.
REQUIREMENTS:
• Provide refined lattice parameters and crystallite size.
• Include goodness-of-fit indicators (Rwp, χ²).
• Output CIF file and plotted obs-calc difference.
OUTPUT FORMAT: Markdown with plots and CIF block.",diffraction_pattern,Julius Brussee
Advanced Materials Characterization,"ROLE: TEM Image Analyst.
OBJECTIVE: Measure dislocation density in **{tem_image}** of {alloy_name} using line intercept method.
REQUIREMENTS:
• Calibrate scale bar to nm accuracy.
• Analyze at least 5 regions to compute average and std dev.
• Provide annotated image overlays.
OUTPUT FORMAT: Markdown with images and Python code.",tem_image; alloy_name,Julius Brussee
Advanced Materials Characterization,"ROLE: Atomic Force Microscopy Specialist.
OBJECTIVE: Generate force-distance curve analysis for **{afm_forcefile}** on sample **{sample_id}**.
REQUIREMENTS:
• Fit Hertz-Sneddon model to determine elastic modulus.
• Correct baseline drift and cantilever deflection sensitivity.
• Report modulus histogram with n>200 curves.
OUTPUT FORMAT: Markdown with plots and table.",afm_forcefile; sample_id,Julius Brussee
Advanced Materials Characterization,"ROLE: Raman Spectroscopy Interpreter.
OBJECTIVE: Assign vibrational modes in **{raman_spectrum}** of **{compound_name}** between 200-1800 cm⁻¹.
REQUIREMENTS:
• Subtract fluorescence background via polynomial fitting.
• Compare peak positions with {reference_spectra}.
• Output annotated spectrum and assignments table.
OUTPUT FORMAT: Markdown with figure and table.",raman_spectrum; compound_name; reference_spectra,Julius Brussee
Advanced Materials Characterization,"ROLE: Nanoindentation Data Scientist.
OBJECTIVE: Process load-displacement data **{indentation_csv}** to extract hardness and modulus for **{coating_name}**.
REQUIREMENTS:
• Apply Oliver-Pharr method with area function calibration.
• Exclude pop-ins and surface roughness outliers.
• Plot hardness vs depth and summary statistics.
OUTPUT FORMAT: Markdown with code and plots.",indentation_csv; coating_name,Julius Brussee
Advanced Materials Characterization,"ROLE: Neutron Scattering Modeler.
OBJECTIVE: Fit SANS data **{sans_file}** for **{polymer_system}** to core-shell sphere model.
REQUIREMENTS:
• Estimate shell thickness and contrast match point.
• Provide SasView .ses file parameters.
• Include χ² goodness-of-fit comparison with Guinier model.
OUTPUT FORMAT: Markdown with figures and parameter table.",sans_file; polymer_system,Julius Brussee
Advanced Materials Characterization,"ROLE: XPS Quantification Expert.
OBJECTIVE: Quantify surface composition of **{xps_survey}** using sensitivity factors from **{sf_database}**.
REQUIREMENTS:
• Subtract Shirley background and fit Voigt profiles.
• Calculate atomic percentages with 2 % precision.
• Report high-resolution C1s deconvolution.
OUTPUT FORMAT: Markdown with plots and summary table.",xps_survey; sf_database,Julius Brussee
Advanced Materials Characterization,"ROLE: Thermogravimetric Analyst.
OBJECTIVE: Determine activation energy of **{catalyst_sample}** decomposition using TGA **{tga_csv}** at multiple heating rates.
REQUIREMENTS:
• Apply Ozawa-Flynn-Wall model.
• Plot ln β vs 1/T for conversion fractions 0.1-0.9.
• Report average Ea and 95 % CI.
OUTPUT FORMAT: Markdown with plots and calculations.",catalyst_sample; tga_csv,Julius Brussee
Advanced Materials Characterization,"ROLE: FTIR Chemometrician.
OBJECTIVE: Develop PLS-R model predicting **{property_name}** from FTIR dataset **{ftir_matrix}**.
REQUIREMENTS:
• Preprocess spectra with SNV and Savitzky-Golay 1st derivative.
• Determine optimal latent variables via cross-validation.
• Provide regression coefficients plot and prediction R².
OUTPUT FORMAT: Markdown with code and results.",property_name; ftir_matrix,Julius Brussee
Advanced Materials Characterization,"ROLE: Mössbauer Spectroscopy Analyst.
OBJECTIVE: Interpret 57Fe Mössbauer spectrum **{mossbauer_data}** of **{iron_phase}** at {temperature_k} K.
REQUIREMENTS:
• Fit sextet and doublet components including isomer shift, quadrupole splitting.
• Discuss magnetic ordering conclusions.
• Provide goodness-of-fit (χ²) and model comparison.
OUTPUT FORMAT: Markdown with figure and analysis text.",mossbauer_data; iron_phase; temperature_k,Julius Brussee
High Performance Computing & Parallelization,"ROLE: MPI Performance Tuner.
OBJECTIVE: Profile **{mpi_application}** scaling on **{cluster_name}** up to **{node_count}** nodes.
REQUIREMENTS:
• Collect strong and weak scaling efficiency metrics.
• Visualize communication/computation breakdown using Imbalance chart.
• Recommend rank reordering and network topology mapping.
OUTPUT FORMAT: Markdown with performance plots.",mpi_application; cluster_name; node_count,Julius Brussee
High Performance Computing & Parallelization,"ROLE: GPU Kernel Optimizer.
OBJECTIVE: Optimize CUDA kernel **{kernel_file}** for memory coalescing on **{gpu_arch}**.
REQUIREMENTS:
• Use Nsight profiler to identify warp divergence hotspots.
• Apply shared memory tiling and unrolling factors.
• Report achieved occupancy and speedup vs baseline.
OUTPUT FORMAT: Markdown with code diff and benchmark table.",kernel_file; gpu_arch,Julius Brussee
High Performance Computing & Parallelization,"ROLE: Slurm Scheduler Consultant.
OBJECTIVE: Design job submission strategy for parameter sweep **{job_script}** involving **{param_set_size}** combinations.
REQUIREMENTS:
• Create array job script with dynamic CPU allocation per task.
• Implement dependency chain to post-process outputs.
• Estimate cluster utilization and makespan reduction.
OUTPUT FORMAT: Markdown with script and Gantt chart placeholder.",job_script; param_set_size,Julius Brussee
High Performance Computing & Parallelization,"ROLE: HPC I/O Architect.
OBJECTIVE: Propose data layout strategy for writing **{simulation_output_tb}** TB per run to Lustre filesystem.
REQUIREMENTS:
• Recommend MPI-IO collective buffer settings and stripe count.
• Include HDF5 chunk size optimization for {hdf5_dataset} dimensionality.
• Provide expected bandwidth and metadata overhead analysis.
OUTPUT FORMAT: Markdown with tables and diagrams.",simulation_output_tb; hdf5_dataset,Julius Brussee
High Performance Computing & Parallelization,"ROLE: OpenACC Refactoring Lead.
OBJECTIVE: Convert Fortran CFD solver loop **{source_file}** to OpenACC targeting **{gpu_model}**.
REQUIREMENTS:
• Insert directives ensuring data movement minimized.
• Validate numerical results vs original CPU run within 1e-6 tolerance.
• Measure runtime reduction and document compiler flags.
OUTPUT FORMAT: Markdown with code blocks and benchmark plot.",source_file; gpu_model,Julius Brussee
High Performance Computing & Parallelization,"ROLE: Distributed ML Engineer.
OBJECTIVE: Set up Horovod training for **{model_arch}** on **{gpu_count}** GPUs across {node_count_dml} nodes.
REQUIREMENTS:
• Demonstrate ring-allreduce efficiency measurement scripts.
• Tune batch size and gradient prefetch to maximize throughput.
• Provide TensorBoard screenshot placeholder.
OUTPUT FORMAT: Markdown with commands and result metrics.",model_arch; gpu_count; node_count_dml,Julius Brussee
High Performance Computing & Parallelization,"ROLE: Hybrid Parallelization Strategist.
OBJECTIVE: Outline MPI+OpenMP strategy to solve Poisson equation in **{mesh_size}** grid points.
REQUIREMENTS:
• Describe domain decomposition and OpenMP collapse hints.
• Present pseudo-code and expected memory usage per rank.
• Compute roofline model estimate on {cpu_model}.
OUTPUT FORMAT: Markdown with code and roofline chart.",mesh_size; cpu_model,Julius Brussee
High Performance Computing & Parallelization,"ROLE: Checkpointing Framework Designer.
OBJECTIVE: Design a scalable asynchronous checkpoint mechanism for **{simulation_code}** using SCR library.
REQUIREMENTS:
• Set redundancy level to XOR with 3 partner ranks.
• Include restart latency measurement methodology.
• Provide I/O traces and explain overhead percentage.
OUTPUT FORMAT: Markdown with configuration files and analysis.",simulation_code,Julius Brussee
High Performance Computing & Parallelization,"ROLE: HPC Containerization Specialist.
OBJECTIVE: Build an Apptainer recipe for **{bioinformatics_pipeline}** with dependencies listed in **{conda_env_yml}**.
REQUIREMENTS:
• Enable GPU support and MPI passthrough.
• Test container on {test_dataset} and report runtime comparison.
• Publish recipe hash and registration instructions.
OUTPUT FORMAT: Markdown with recipe and results.",bioinformatics_pipeline; conda_env_yml; test_dataset,Julius Brussee
High Performance Computing & Parallelization,"ROLE: Exascale Ready Auditor.
OBJECTIVE: Evaluate algorithmic readiness of **{application_name}** for exascale architectures with **{precision_mode}** precision.
REQUIREMENTS:
• Analyze memory bandwidth requirements vs on-chip HBM limits.
• Identify synchronization hotspots and recommend task-based parallelism.
• Summarize compliance with OpenMP 5.2 features.
OUTPUT FORMAT: Markdown with checklist and performance projections.",application_name; precision_mode,Julius Brussee
Product Management,"ROLE: A/B Test Analyst|OBJECTIVE: Generate a statistical analysis report for an A/B test comparing conversion rates between control variant **{control_name}** and challenger **{challenger_name}**.|REQUIREMENTS: Calculate p-value, confidence interval, and statistical power using data from {results_csv}|Provide a clear recommendation on whether to ship the challenger variant|Include visualizations of the conversion rate distributions for both variants.|STYLE: Data-driven, concise, and conclusive.|OUTPUT FORMAT: Markdown report with statistical summaries.",control_name|challenger_name|results_csv,Julius Brussee
Product Management,"ROLE: User Story Crafter|OBJECTIVE: Write a set of detailed, INVEST-compliant user stories for the epic **{epic_name}** targeting persona **{user_persona}**.|REQUIREMENTS: Each story must have a clear 'As a, I want, so that' format.|Include at least 5 acceptance criteria per story.|Reference the design mockups in {figma_link}.|STYLE: Agile-focused, user-centric, and unambiguous.|OUTPUT FORMAT: Markdown with H3 headers for each story.",epic_name|user_persona|figma_link,Julius Brussee
Product Management,"ROLE: Product Roadmap Planner|OBJECTIVE: Create a quarterly product roadmap for **{product_name}** that aligns with the company OKR **{company_okr}**.|REQUIREMENTS: Organize features into themes (e.g., Performance, User Growth, Core Features)|Assign a priority score to each feature based on the RICE framework|Include dependencies on other teams, such as {dependent_team}.|STYLE: Strategic, visual, and easy to understand for stakeholders.|OUTPUT FORMAT: Markdown table with columns: Quarter, Theme, Feature, RICE Score, Dependencies.",product_name|company_okr|dependent_team,Julius Brussee
Product Management,"ROLE: Competitive Analysis Expert|OBJECTIVE: Produce a competitive analysis matrix comparing **{our_product}** against competitors **{competitor_list}**.|REQUIREMENTS: Evaluate on at least 5 key features, such as {feature_1}, {feature_2}, and {feature_3}|Include pricing, target market, and a summary of each competitor's strategy|Use a 'Strengths, Weaknesses, Opportunities, Threats' (SWOT) format for the summary.|STYLE: Objective, thorough, and visually organized.|OUTPUT FORMAT: Markdown with a feature comparison table and SWOT analysis sections.",our_product|competitor_list|feature_1|feature_2|feature_3,Julius Brussee
Product Management,"ROLE: Feature Prioritization Facilitator|OBJECTIVE: Generate a script and agenda for a feature prioritization meeting with stakeholders from **{stakeholder_departments}** for the upcoming **{release_cycle}**.|REQUIREMENTS: Frame the discussion around the 'Buy a Feature' prioritization method.|List the candidate features from {features_backlog_url}.|Include sections for defining the budget, feature pricing, and capturing the final selections.|STYLE: Collaborative, structured, and outcome-oriented.|OUTPUT FORMAT: Markdown document.",stakeholder_departments|release_cycle|features_backlog_url,Julius Brussee
Product Management,"ROLE: Go-to-Market Strategist|OBJECTIVE: Develop a comprehensive go-to-market (GTM) plan for the launch of feature **{feature_name}** on **{launch_date}**.|REQUIREMENTS: Define target audience segments and key messaging for each.|Outline marketing channels to be used, including {channel_1} and {channel_2}.|Specify success metrics, such as {kpi_1} and {kpi_2}.|STYLE: Actionable, detailed, and cross-functional.|OUTPUT FORMAT: Markdown with sections for Audience, Messaging, Channels, and Metrics.",feature_name|launch_date|channel_1|channel_2|kpi_1|kpi_2,Julius Brussee
Product Management,"ROLE: User Interview Synthesizer|OBJECTIVE: Synthesize key insights from a batch of user interview transcripts located at **{transcripts_folder}** regarding user sentiment about **{product_area}**.|REQUIREMENTS: Identify the top 5 user pain points.|Extract at least 3 direct, impactful user quotes.|Group findings into themes and provide actionable recommendations for the product team.|STYLE: Empathetic, analytical, and insight-driven.|OUTPUT FORMAT: Markdown report with sections for Key Pain Points, User Quotes, and Recommendations.",transcripts_folder|product_area,Julius Brussee
Product Management,"ROLE: PRD Author|OBJECTIVE: Write a complete Product Requirements Document (PRD) for the new feature **{feature_title}**.|REQUIREMENTS: Include sections for Introduction, Problem Statement, Goals/Objectives, User Stories, and Technical Requirements.|Reference the project in {jira_project_key}.|Define the success metrics and how they will be measured.|STYLE: Formal, detailed, and serves as a single source of truth.|OUTPUT FORMAT: Markdown document with a clear, hierarchical structure.",feature_title|jira_project_key,Julius Brussee
Product Management,"ROLE: Churn Analysis Specialist|OBJECTIVE: Analyze user churn data from **{churn_data_csv}** to identify the primary reasons for users canceling their subscriptions to **{service_name}**.|REQUIREMENTS: Segment churn by user tenure, subscription plan, and key activity metrics.|Identify the top 3 features correlated with high retention.|Propose 3 data-backed initiatives to reduce churn.|STYLE: Investigative, quantitative, and strategic.|OUTPUT FORMAT: Markdown analysis report with charts and tables.",churn_data_csv|service_name,Julius Brussee
Product Management,"ROLE: OKR Drafting Assistant|OBJECTIVE: Draft a set of quarterly Objectives and Key Results (OKRs) for the **{team_name}** team that aligns with the company's goal to **{company_goal}**.|REQUIREMENTS: Define 1-2 ambitious, qualitative Objectives.|For each Objective, create 3-4 specific, measurable, and time-bound Key Results.|Ensure Key Results are outcome-focused, not output-focused, using metrics like {metric_example}.|STYLE: Ambitious, focused, and aligned.|OUTPUT FORMAT: Markdown with a nested list structure for Objectives and Key Results.",team_name|company_goal|metric_example,Julius Brussee
Data Engineering,"ROLE: ETL Pipeline Architect|OBJECTIVE: Design a robust and scalable ETL pipeline to move data from **{source_system}** to data warehouse **{target_warehouse}**.|REQUIREMENTS: The pipeline must handle a daily volume of {daily_volume_gb} GB.|Use {etl_tool} for orchestration and transformation.|Implement data quality checks for null values and schema validation.|STYLE: Modular, idempotent, and well-documented.|OUTPUT FORMAT: A sequence diagram in Mermaid Markdown and a YAML configuration skeleton.",source_system|target_warehouse|daily_volume_gb|etl_tool,Julius Brussee
Data Engineering,"ROLE: Data Warehouse Modeler|OBJECTIVE: Generate the DDL SQL for a star schema data model to support analytics on **{business_process}**.|REQUIREMENTS: Create a central fact table for metrics like {metric_1} and {metric_2}.|Design at least 4 dimension tables, including {dimension_1} and {dimension_2}.|The schema must be optimized for query performance in {database_flavor}.|STYLE: Normalized (for dimensions), clear, and includes primary/foreign key constraints.|OUTPUT FORMAT: SQL file with DDL statements.",business_process|metric_1|metric_2|dimension_1|dimension_2|database_flavor,Julius Brussee
Data Engineering,"ROLE: Data Quality Automation Engineer|OBJECTIVE: Create a reusable data quality testing suite for the database table **{table_name}** using **{dq_framework}**.|REQUIREMENTS: Implement tests for uniqueness, non-null constraints, and referential integrity.|Add a custom test to validate that values in {column_name} match the regex pattern {regex_pattern}.|The suite should output results in JUnit XML format for CI/CD integration.|STYLE: Declarative, maintainable, and comprehensive.|OUTPUT FORMAT: Python script using the specified framework.",table_name|dq_framework|column_name|regex_pattern,Julius Brussee
Data Engineering,"ROLE: Streaming Data Processor|OBJECTIVE: Develop a streaming data pipeline using **{streaming_platform}** to process real-time events from topic **{source_topic}**.|REQUIREMENTS: The pipeline must perform a windowed aggregation of {aggregation_function} over a {window_duration_seconds}-second tumbling window.|Filter out events where the {field_name} is empty.|Write the aggregated results to the output topic {destination_topic}.|STYLE: Resilient, low-latency, and stateful.|OUTPUT FORMAT: Python/Scala code snippet for the specified platform.",streaming_platform|source_topic|aggregation_function|window_duration_seconds|field_name|destination_topic,Julius Brussee
Data Engineering,"ROLE: Data Governance Steward|OBJECTIVE: Draft a data dictionary and governance policy for the dataset **{dataset_name}** containing PII.|REQUIREMENTS: For each column, define the data type, description, and PII classification (e.g., Direct, Indirect).|Specify data retention policy: {retention_period_days} days.|Outline access control rules for different user roles, such as {user_role_1} and {user_role_2}.|STYLE: Formal, compliant with GDPR/CCPA, and unambiguous.|OUTPUT FORMAT: Markdown document with a table for the data dictionary.",dataset_name|retention_period_days|user_role_1|user_role_2,Julius Brussee
Data Engineering,"ROLE: Database Optimization Specialist|OBJECTIVE: Analyze the slow query **{query_sql}** on the **{database_engine}** database and provide optimization recommendations.|REQUIREMENTS: Generate the query execution plan.|Suggest at least three optimizations, such as adding an index on {column_to_index}, rewriting a join, or denormalizing data.|Provide the rewritten, optimized SQL query.|STYLE: Analytical, evidence-based, and actionable.|OUTPUT FORMAT: Markdown report with execution plan analysis and optimized SQL.",query_sql|database_engine|column_to_index,Julius Brussee
